Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","1M Return","1D Return","Return on Equity","PB Ratio"
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","141642.8010944","4185.1","74.11003327372133","-1.1829429542878602","-1.0965378707314106","26.459073402903353","18.66006925515335"
Tata Capital Ltd,TATACAP,"Consumer Finance","140479.11883299","333.15","28.98807676956521","6.539814518708024","2.476161181175009","12.432532833498007","4.0871836786568405"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","140015.35462436","1375.7","67.43697964799834","5.490376504869269","-0.9575233981281465","22.355485424583982","14.060928825796166"
Solar Industries India Ltd,SOLARINDS,"Commodity Chemicals","139707.5959145","15439","115.51428422617077","26.70496512105047","0.403199583793978","30.322532928344273","30.705506012083738"
Britannia Industries Ltd,BRITANNIA,"FMCG - Foods","137921.1862896","5726","63.303477847002625","4.871794871794871","0.2977754422841128","52.20177924943753","31.47936838432253"
Muthoot Finance Ltd,MUTHOOTFIN,"Consumer Finance","137470.83555192","3424.2","25.777972793672475","6.982847502108914","-1.066135043772214","19.13236554797988","4.583404673528008"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","136244.707967934","263.46","6.5766785044044465","3.9289940828402288","-1.7856477166822071","15.432291114562467","0.9221283180594796"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","136186.901026","104.21","20.945386192863733","15.711747723739718","-0.8279406166730153","12.768254607873","2.5857730643617494"
Siemens Ltd,SIEMENS,"Conglomerates","135617.8107141","3808.2","64.4510078481609","27.985212569316076","0.8313916543105178","19.08944620508895","8.825779522071313"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","133209.78063229","1562.9","25.457616874234848","13.253623188405802","0.6180390137127494","19.706471717743526","5.628101117226597"
Billionbrains Garage Ventures Ltd,GROWW,"Investment Banking & Brokerage","133112.712246078","214.99","63.9040197819876","36.788191130622906","0.7120438469105778","49.31949019549534","27.41511337694302"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","130350.39738696002","300.45","9.773921845376774","9.653284671532843","-1.135241855873639","16.987159340205537","1.6016694836012153"
CG Power and Industrial Solutions Ltd,CGPOWER,"Heavy Electrical Equipments","128097.48047991499","813.35","131.43595370399652","23.92016454635484","-1.4837693798449612","27.623150615044494","31.72590863449969"
Samvardhana Motherson International Ltd,MOTHERSON,"Auto Parts","127649.053750951","121.21","33.56535728397345","13.386342376052374","-1.647192469977281","11.639936336924583","3.4380342257551755"
Union Bank of India Ltd,UNIONBANK,"Public Banks","126672.051442558","165.94","6.74482798984049","-2.74293752197867","-0.8188392803777447","17.052274176053217","1.112777925930072"
LTM Ltd,LTM,"IT Services & Consulting","126631.73209032","4269.6","25.2349957335087","3.1752936059156287","-1.2375378779116837","21.520477140898358","5.575665723986527"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","126610.74571038001","586.9","66.20792843790794","-2.443484042553199","-1.2617765814266488","11.75057493342192","7.837432617441948"
Tata Motors Passenger Vehicles Ltd,TMPV,"Four Wheelers","125773.5892842","341.55","4.519352830909091","15.135681779875288","-3.1613269067195855","25.786664689967015","1.024598703783176"
Punjab National Bank,PNB,"Public Banks","125686.827578848","109.36","6.8011285309293275","6.692682926829268","-1.636985069257067","15.10358892991322","0.9395994582708563"
Jindal Steel Ltd,JINDALSTEL,"Iron & Steel","124448.96914407","1223.1","44.2543442671817","9.763977384905319","-0.4071329696278805","6.102052544879872","2.6244359713313052"
Bharat Heavy Electricals Ltd,BHEL,"Heavy Electrical Equipments","122711.394693555","352.41","229.83966041122895","41.18990384615386","2.29608127721336","2.172055342456723","4.9636194690736986"
Canara Bank Ltd,CANBK,"Public Banks","122136.3192159","134.65","6.963456953484142","6.157363607694736","-1.7583540055450142","17.56242182971462","1.1456735797112292"
Polycab India Ltd,POLYCAB,"Electrical Components & Equipments","122109.3748854","8110.5","60.450784109446566","16.538544435663482","-0.46634349880346077","22.25854882742018","12.325814075725765"
Siemens Energy India Ltd,ENRIN,"Power Generation","116764.7911794","3278.8","106.14016105754018","27.085271317829463","-0.9425981873111727","50.22129600251998","26.65071809266655"
